time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
5501.0,4899.752234625759,-2691.64131344056,-7375.057026425079,2.7315340979273626,5.504367734861697,1.2203953906689193,4874.7613988003,-2721.0754772441583,-7403.455138920753,2.736968899071749,5.492790884006262,1.20032655549713,17.960641053458634,-39.705464622232924,-19.956355365407628,-0.004202440699757021,-0.01979797340763996,-0.003219151753034863
5502.0,4902.4825362708725,-2686.1362692544476,-7373.834776406014,2.729068813211397,5.505720258254426,1.2241047709876096,4877.4971492345385,-2715.5820064963464,-7402.252961454669,2.734531592584081,5.494150236721604,1.2040285023914894,17.956435568057017,-39.72525983425514,-19.95956916682127,-0.004208530567667887,-0.01979244945554074,-0.0032084501990298346
5503.0,4905.210371493898,-2680.6298736826393,-7372.608816636219,2.726601253644153,5.507070505882779,1.2278148919622018,4880.230461234105,-2710.0871775209166,-7401.047081664685,2.732092029619205,5.495507338874209,1.2077312031387113,17.952223992671456,-39.74504951752849,-19.96277226247184,-0.004214620667000714,-0.019786915910392368,-0.0031977402268352577
5504.0,4907.9357380196625,-2675.1221290020117,-7371.379146375536,2.7241314185830845,5.508418475521988,1.2315257525977676,4882.961332542201,-2704.590992569535,-7399.837498797429,2.729650209534235,5.496862188256975,1.2114346567732648,17.948006327076303,-39.76483366245787,-19.965964643937358,-0.0042207109855823995,-0.019781372766407637,-0.003187021827075651
5505.0,4910.658633572351,-2669.6130374916675,-7370.145764884803,2.721659307386069,5.509764164945059,1.2352373518972257,4885.689760901385,-2699.0934538960764,-7398.624212100499,2.7272061316866743,5.4982147826605585,1.215138862327496,17.943782571059213,-39.78461225944057,-19.96914630278413,-0.004226801511209129,-0.019775820017837745,-0.0031762949903708414
5506.0,4913.379055875508,-2664.102601432937,-7368.908671425854,2.719184919411407,5.51110757192277,1.2389496888613374,4888.415744053575,-2693.594563756625,-7397.407220822458,2.7247597954344176,5.499565119873374,1.2188438188316248,17.939552724419094,-39.804385298869484,-19.972317230570845,-0.004232892231650215,-0.019770257658966405,-0.0031655597073362144
5507.0,4916.0970026520345,-2658.590823109381,-7367.667865261526,2.716708254017827,5.512448694223669,1.2426627624887032,4891.139279740043,-2688.0943244094788,-7396.186524212842,2.722311200135755,5.500913197681587,1.2225495253137406,17.93531678696636,-39.824152771131835,-19.97547741884685,-0.004238983134644873,-0.019764685684116268,-0.00315481596858221
5508.0,4918.812471624191,-2653.077704806793,-7366.423345655657,2.7142293105644875,5.513787529614075,1.246376571775758,4893.860365701424,-2682.59273811515,-7394.962121522162,2.7198603451493746,5.502259013869119,1.2262559807997975,17.931074758525572,-39.84391466660885,-19.97862685915186,-0.004245074207903533,-0.019759104087645935,-0.0031440637647142853
5509.0,4921.525460513597,-2647.5632488132014,-7365.17511187309,2.711748088410981,5.5151240758580755,1.2500911157167671,4896.578999677708,-2677.089807136368,-7393.734012001901,2.7174072298343646,5.503602566217641,1.2299631843136105,17.926826638932575,-39.863670975675305,-19.981765543015303,-0.004251165439107488,-0.019753512863950766,-0.003133303086334065
5510.0,4924.2359670412325,-2642.0474574188715,-7363.923163179675,2.709264586917335,5.516458330717524,1.253806393303822,4899.295179408248,-2671.5855337380826,-7392.502194904519,2.7149518535502155,5.504943852506576,1.2336711348768516,17.92257242803543,-39.88342168870171,-19.984893461957977,-0.004257256815911204,-0.019747912007461725,-0.0031225339240394667
5511.0,4926.943988927438,-2636.530332916308,-7362.66749884227,2.7067788054440176,5.517790291952041,1.257522403526836,4902.008902631754,-2666.0799201874643,-7391.266669483457,2.7124942156568244,5.506282870513097,1.2373798315090452,17.918312125694584,-39.90316679605274,-19.988010607492118,-0.004263348325939397,-0.019742301512650273,-0.003111756268422973
5512.0,4929.649523891914,-2631.011877600257,-7361.4081181287465,2.7042907433519385,5.5191199573190115,1.2612391453735403,4904.720167086296,-2660.5729687539074,-7390.027434993138,2.7100343155144966,5.5076196180121215,1.241089273227564,17.914045731782608,-39.9229062880865,-19.99111697111886,-0.004269439956788544,-0.01973668137402238,-0.0031009701100733304
5513.0,4932.352569653723,-2625.4920937677075,-7360.145020307987,2.7018004000024534,5.520447324573584,1.26495661782948,4907.428970509306,-2655.0646817090333,-7388.784490688968,2.7075721524839484,5.508954092776317,1.2447994590476246,17.90977324618602,-39.94264015515739,-19.994212544331607,-0.004275531696028248,-0.01973105158612353,-0.0030901754395770325
5514.0,4935.053123931287,-2619.970983717896,-7358.87820464989,2.6993077747573655,5.5217723914686685,1.268674819878009,4910.135310637576,-2649.5550613266914,-7387.537835827337,2.7051077259263105,5.510286292576095,1.2485103879822836,17.90549466880143,-39.962368387612884,-19.997297318612613,-0.004281623531198951,-0.019725412143536333,-0.003079372247514839
5515.0,4937.7511844423925,-2614.4485497523065,-7357.607670425373,2.69681286697893,5.5230951557549375,1.2723937505002862,4912.839185207261,-2644.044109882962,-7386.287469665627,2.7026410352031296,5.511616215179608,1.2522220590424333,17.901209999539894,-39.98209097579587,-20.000371285436003,-0.0042877154498139995,-0.019719763040883194,-0.0030685605244649937
5516.0,4940.446748904188,-2608.924794174673,-7356.333416906372,2.694315676029856,5.524415615180822,1.2761134086752721,4915.540591953874,-2638.531829656158,-7385.033391462208,2.700172079676372,5.512943858352756,1.2559344712367972,17.89691923832411,-40.001807910044256,-20.003434436267163,-0.0042938074393593754,-0.019714104272823926,-0.0030577402610022114
